,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3273,영신상회,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 법원북로 63,129.073890476671,35.1936493804996
3274,동천중탕,소매,"신선, 냉동 및 기타 수산물 소매업",동래구,부산광역시 동래구 온천장로119번길 40,129.082797181571,35.2218824988427
3275,은혜떡방앗간,음식,떡류 제조업,기장군,부산광역시 기장군 정관읍 정관2로 45,129.166892050547,35.334420552656
3276,연산명가떡방,음식,떡류 제조업,연제구,부산광역시 연제구 세병로 10,129.084527324981,35.1892639953291
3277,서울정형외과,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 충렬대로 233,129.084901994838,35.2017538247228
3278,거제왕족발,소매,기타 식료품 소매업,연제구,부산광역시 연제구 거제천로 89,129.073082285061,35.1822900610678
3279,무궁화수퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 온천천로253번길 9,129.083154082211,35.1983081593454
3280,늘푸른상회,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 거제천로 154,129.076988016575,35.1870687978628
3281,엄마손반찬,소매,조리 반찬류 소매업,동래구,부산광역시 동래구 온천장로119번가길 17,129.081844021306,35.2212420265252
3282,슈퍼마켓,소매,슈퍼마켓,동래구,부산광역시 동래구 쇠미로129번길 94,129.05843972267,35.2062696087036
3283,교대마트,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 교대로22번길 4,129.077355568873,35.1957819271801
3284,애니타임,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 여고로 13,129.065481150982,35.1954723506225
3285,새진주상회,소매,기타 식료품 소매업,동래구,부산광역시 동래구 온천장로119번가길 3,129.082279299738,35.2217609366541
3286,유경희소아과,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 고분로 25-1,129.085371297599,35.1858491979104
3287,궁전떡방앗간,음식,떡류 제조업,동래구,부산광역시 동래구 사직북로28번길 72,129.063326222029,35.2003227208904
3288,삼영비닐잡화,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 충렬대로410번길 21,129.103332478871,35.1954939484862
3289,신앙촌상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명륜로112번길 4,129.083212986895,35.2035717126593
3290,하나마트,소매,슈퍼마켓,금정구,부산광역시 금정구 중앙대로1959번길 11,129.090523330876,35.2591211454351
3291,제일한방메디칼,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 명안로45번길 78,129.100460195587,35.2015413175976
3292,남해건어물,소매,건어물 및 젓갈류 소매업,연제구,부산광역시 연제구 쌍미천로141번길 31,129.085428178697,35.1851726489321
3293,서원탑할인마트,소매,슈퍼마켓,동래구,부산광역시 동래구 명장로127번길 6,129.112839970123,35.200184269528
